inquiryprop,disciplineprop,traditionalprop,progressiveprop,reading1415,math1415,reading1516,math1516,reading1617,math1617,pocschool,pocsd,povertyschool,povertysd,childpovertysd,urban,primary,middle,high,otherlevel,students,age,state,cmoname,level,localefine,numwords,numpdfs,numpages,expulsions,suspensions,incidents,lawreferrals,lepcount,disabledcount,certrate,teacherratio,teacherscrdc,giftedcount,approgram,apcourses,titlei,geodistrict,districtname,schoolname,ethnicisolated99,ethnicisolated90,ethnicisolated80,ethnicisolated70,collegesd,popdensity,unemployment,foreignborn,closerate,publicdensity,charterdensity,address,latitude,longitude
0.004067274925799716,0.00010989010989010993,0.0,0.00010990218705352238,45-49,25-29,,,55-59,20-24,16.11253196930946,16.319999999999993,0.0,6.43,0.09077830527981585,0,0.0,0.0,0.0,1.0,391.0,10,AK,,Other,Town (distant),9100.0,0,27,0.0,0.0,0.0,0.0,4.0,34.0,1.0,112.03438395415472,5.97,4.0,No,,0.0,200510.0,Matanuska-Susitna Borough School District,Twindly Bridge Charter School,1,1,1,1,20.58,4.010054,9.86,3.28,0.0,45,6," 141 E Seldon Road Suite C , Wasilla AK 99654.0 ",61.61438,-149.449441
0.00143884892086331,0.0,0.0,0.0,55-59,45-49,,,60-64,40-44,25.702811244979916,16.319999999999993,0.0,6.43,0.09077830527981585,0,1.0,0.0,0.0,0.0,249.0,7,AK,,Primary,Town (distant),695.0,0,1,0.0,0.0,0.0,0.0,10.0,13.0,1.0,16.70020120724346,13.12,7.0,,,0.0,200510.0,Matanuska-Susitna Borough School District,Fronteras Charter School,1,1,1,1,20.58,4.010054,9.86,3.28,0.0,45,6," 7010 E Bogard Road , Wasilla AK 99654.0 ",61.61234,-149.27624
0.005640941792020928,0.00012262916939175938,0.00020437359493153477,0.00012263919548687762,36,34,,,54,36,27.577319587628867,16.319999999999993,0.0,6.43,0.09077830527981585,0,1.0,0.0,0.0,0.0,388.0,5,AK,,Primary,Town (distant),24465.0,0,66,0.0,24.0,14.0,0.0,4.0,84.0,1.0,17.069951605807304,25.35,2.0,,,0.0,200510.0,Matanuska-Susitna Borough School District,Birchtree Charter School,1,1,1,1,20.58,4.010054,9.86,3.28,0.0,45,6," 7101 E Palmer Wasilla Highway , Palmer AK 99645.0 ",61.59874,-149.271821
,,,,50-59,30-39,,,60-69,60-69,75.40983606557377,68.46000000000001,0.0,8.21,0.1782437745740498,0,0.0,1.0,0.0,0.0,61.0,17,AK,,Middle,Rural (fringe),0.0,0,0,0.0,0.0,0.0,0.0,4.0,,1.0,17.183098591549296,4.0,,,,1.0,200570.0,Nome Public Schools,Anvil City Science Academy,1,1,1,1,23.389999999999997,299.3452,10.24,2.25,0.0,5,1," Mile 3.5 Nome-Teller Highway , Nome AK 99762.0 ",64.542453,-165.40547
0.0036496350364963507,0.0018248175182481751,0.0,0.0,60-64,40-44,,,55-59,45-49,20.394736842105264,23.5,0.0,4.75,0.09081106984545345,1,1.0,0.0,0.0,0.0,152.0,17,AK,,Primary,City (small),548.0,0,1,0.0,0.0,0.0,0.0,2.0,13.0,1.0,20.0,7.5,4.0,,,0.0,200600.0,Fairbanks North Star Borough School District,Chinook Montessori Charter School,1,1,1,1,33.37,13.64774,8.46,5.19,0.0,37,4," 3002 International Street , Fairbanks AK 99701.0 ",64.819641,-147.752261
0.004056795131845841,0.00202839756592292,0.0,0.0,15-19,10-14,,,11-19,LE10,36.12565445026178,23.5,31.413612565445025,4.75,0.09081106984545345,0,0.0,0.0,1.0,0.0,191.0,11,AK,,High,Suburb (small),493.0,0,1,0.0,8.0,0.0,0.0,4.0,26.0,1.0,16.20016963528414,14.0,13.0,No,,1.0,200600.0,Fairbanks North Star Borough School District,Star of the North Secondary School,1,1,1,1,33.37,13.64774,8.46,5.19,0.0,37,4," 2945 Monk Court , North Pole AK 99705.0 ",64.76391,-147.347929
,,,,15-19,10-14,,,20-24,10-14,77.56410256410257,23.5,69.23076923076923,4.75,0.09081106984545345,0,0.0,0.0,1.0,0.0,156.0,10,AK,,High,Suburb (small),0.0,0,0,0.0,59.0,3.0,2.0,13.0,24.0,1.0,14.207650273224044,11.5,4.0,No,,1.0,200600.0,Fairbanks North Star Borough School District,Effie Kokrine Charter School,1,1,1,1,33.37,13.64774,8.46,5.19,0.0,37,4," 601 Loftus Road , Fairbanks AK 99709.0 ",64.847827,-147.840318
0.006734006734006736,0.0033670033670033677,0.0,0.0,65-69,65-69,,,70-74,75-79,21.5,23.5,0.0,4.75,0.09081106984545345,0,1.0,0.0,0.0,0.0,200.0,6,AK,,Primary,Suburb (small),297.0,0,1,0.0,0.0,0.0,2.0,2.0,,1.0,19.627085377821395,7.5,6.0,,,0.0,200600.0,Fairbanks North Star Borough School District,Watershed Charter School,1,1,1,1,33.37,13.64774,8.46,5.19,0.0,37,4," 4975 Decathlon Avenue , Fairbanks AK 99709.0 ",64.82705,-147.868291
0.0,0.0,0.0,0.0,65,72,77,77,77,76,13.777777777777779,7.459999999999994,8.88888888888889,4.06,0.0534970154296655,0,1.0,0.0,0.0,0.0,675.0,10,AZ,,Primary,Rural (fringe),1.0,0,1,0.0,10.0,2.0,0.0,2.0,102.0,1.0,21.634615384615387,37.0,72.0,,,1.0,400001.0,Cave Creek Unified District,Horseshoe Trails Elementary School,1,1,1,1,56.23,276.1346,5.16,8.8,0.0,13,5," 5405 E. Pinnacle Vista Drive , Phoenix AZ 85085.0 ",33.733012,-111.966341
0.010542168674698798,0.0,0.0,0.0,21-39,21-39,21-39,LE20,40-59,21-39,38.095238095238095,20.590000000000003,60.0,12.41,0.28942199775533106,1,0.0,0.0,1.0,0.0,105.0,17,AZ,,High,City (small),664.0,0,1,0.0,0.0,0.0,0.0,0.0,,1.0,,9.0,,No,,1.0,401460.0,Center for Academic Success  Inc.,Center for Academic Success  The #1,1,1,1,1,30.1,448.3963,8.12,9.34,0.0,13,5," 900 Carmelita Drive , Sierra Vista AZ 85635.0 ",31.55762,-110.290171
